所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型
/部门管理(#1),验证点击添加按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮","1.部门管理页面正常显示
2.点击添加按钮后能正常跳转到添加页面",,1,功能
部门管理,验证点击编辑按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击编辑按钮","1.部门管理页面正常显示
2.点击编辑按钮后能正常跳转到添加页面",,1,功能
部门管理,验证点击删除按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击删除按钮","1.部门管理页面正常显示
2.点击删除按钮后能正常跳转到添加页面",,1,功能
部门管理,验证点击刷新按钮能正常刷新的页面的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击刷新按钮","1.部门管理页面正常显示
2.点击刷新按钮后能正常跳转到添加页面",,1,功能
部门管理,验证添加页面中填写必输项能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：001
5.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中不填写必输项不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：为空
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示",,1,功能
部门管理,验证添加页面中填写全部选项项能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：测试部
4.输入编号：001
5.输入路径：00/1
6.选择状态：正常
7.选择上级部门：测试部门
8.选择部门经理：admin
9.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中只填写必输选项能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：001
5.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中选择停用状态能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：测试部
4.输入编号：001
5.输入路径：00/1
6.选择状态：停用
7.选择上级部门：测试部门
8.选择部门经理：admin
9.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中选择正常状态能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：测试部
4.输入编号：001
5.输入路径：00/1
6.选择状态：正常
7.选择上级部门：测试部门
8.选择部门经理：admin
9.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中填写重复的部门名称不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：001
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示（重复名称）",,1,功能
部门管理,验证添加页面中部门名称包含非法字符的不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：妈的
4.输入编号：003
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示（非法字符）",,1,功能
部门管理,验证添加页面中部门名称只为数字不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：99
4.输入编号：001
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示",,1,功能
部门管理,验证添加页面中部门名称包含特殊字符不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：99&*
4.输入编号：001
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示",,1,功能
部门管理,验证添加页面中编号名称包含非法字符的不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：开发
4.输入编号：001*
5.点击保存","1.保存失败
2.并有相关保存失败的原因的提示",,1,功能
部门管理,验证添加页面中保存能正常使用的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：001
5.点击保存","1.保存成功
2.有相应的添加成功的友好提示",,1,功能
部门管理,验证添加页面中取消能正常使用的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击添加按钮
3.输入部门名称：销售部
4.输入编号：001
5.点击取消",关闭编辑窗口回到原窗口,,1,功能
部门管理,验证不输入关键字点击查询能查询所有的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.点击查询",显示所有部门信息,,1,功能
部门管理,验证状态为全部查询能查询所有的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.状态：全部
3.点击查询",显示所有部门信息,,1,功能
部门管理,验证状态为正常查询能查询所有正常状态的信息的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.状态：正常
3.点击查询",显示所有状态为正常的部门信息,,1,功能
部门管理,验证状态为停用查询能查询所有停用状态的信息的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.状态：停用
3.点击查询",显示所有状态为停用的部门信息,,1,功能
部门管理,验证关键字中包含非法字符不能查询的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.关键字：**&
3.点击查询",显示信息为空,,1,功能
部门管理,验证正确输入已有的部门信息能查询的正确性,"1.打开项目
2.登录成功
","1.点击部门管理
2.关键字：销售部
3.点击查询",显示所有销售部的信息,,1,功能
保修管理,验证点击添加按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击添加按钮","1.部门管理页面正常显示
2.点击添加按钮后能正常跳转到添加页面",,1,功能
保修管理,验证点击编辑按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击编辑按钮","1.部门保修页面正常显示
2.点击编辑按钮后能正常跳转到添加页面",,1,功能
保修管理,验证点击删除按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击删除按钮","1.部门保修页面正常显示
2.点击删除按钮后能正常跳转到添加页面",,1,功能
保修管理,验证点击刷新按钮能正常刷新的页面的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击刷新按钮","1.部门保修页面正常显示
2.点击刷新按钮后能正常跳转到添加页面",,1,功能
保修管理,验证添加保修单不填必输项不能保存成功的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击编辑按钮
3.保修时间：
4.选择保修客户：客户1
5.点击新增明细（填写保修时间、保修内容、是否结局问题）
6.点击保存",1.保存失败，并有相应提示,,1,功能
保修管理,验证添加保修单填写所有选项能保存成功的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击编辑按钮
3.选择保修时间
4.选择保修状态
5.选择保修客户：客户1
6.点击新增明细（填写保修时间、保修内容、是否结局问题）
7.点击保存",1.保存成功，并有相应提示,,1,功能
保修管理,验证保修单不填写所有选项不能保存成功的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击编辑按钮
3.点击保存",1.保存失败，并有相应提示,,1,功能
/保修管理,验证点击编辑能对相应保修单进行修改的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.选中要修改的信息条
3.点击编辑按钮
4.保修状态：维护
5.点击保存",保存成功，并有相关提示,,1,功能
保修管理,验证点击删除能对相应保修单进行删除的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.选中要删除的信息条
3.点击删除按钮
4.点击确定",删除成功，并有相应提示,,1,功能
保修管理,验证点击上下页按钮能正常使用的正确性,"1.打开项目
2.登录成功
","1.点击保修管理
2.点击上一页按钮
3.点击下一页按钮",正常使用，跳转到相应页面,,1,功能
权限管理,验证点击添加按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮","1.权限管理页面正常显示
2.点击添加按钮后能正常跳转到添加页面",,1,功能
权限管理,验证点击编辑按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击编辑按钮","1.权限管理页面正常显示
2.点击编辑按钮后能正常跳转到添加页面",,1,功能
权限管理,验证点击删除按钮能正常跳转的页面的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击删除按钮","1.权限管理页面正常显示
2.点击删除按钮后能正常跳转到添加页面",,1,功能
权限管理,验证点击刷新按钮能正常刷新的页面的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击刷新按钮","1.权限管理页面正常显示
2.点击刷新按钮后能正常跳转到添加页面",,1,功能
权限管理,验证添加权限中，不填权限名称不能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加
3.权限名称：
4.权限编号：001
5.资源路径：j/k
6.状态：正常
7.选择菜单名称
8.点击保存",1.添加失败，并有相应提示,,1,功能
权限管理,验证添加权限页面中保存能正常使用的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮
3.点击保存",1.添加成功，并有相应提示,,1,功能
权限管理,验证添加权限页面中取消能正常使用的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮
3.点击取消",1.取消成功，并有相应提示,,1,功能
权限管理,验证添加权限中填写必输项能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮
3.填写权限名称
4.填写权限编号
5.点击保存",1.添加成功，并有相应提示,,1,功能
权限管理,验证添加权限中选择停用状态能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮
3.填写权限名称
4.填写权限编号
5.选择停用状态
6.点击保存",1.添加成功，并有相应提示,,1,功能
权限管理,验证添加权限中选择正常状态能添加成功的正确性,"1.打开项目
2.登录成功
","1.点击权限管理
2.点击添加按钮
3.填写权限名称
4.填写权限编号
5.选择正常状态
6.点击保存",1.添加成功，并有相应提示,,1,功能
